## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT sorted_rg.bam --OUTPUT marked_output.bam --METRICS_FILE marked_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 02 10:26:41 IST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	102548	4080084	61056	1740086	70074	387469	0	0.102268	20099110

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3341665	3341665
2.0	1.81628	319607	319607
3.0	2.482592	28045	28045
4.0	3.02649	2534	2534
5.0	3.470462	408	408
6.0	3.832868	135	135
7.0	4.128692	81	81
8.0	4.370167	57	57
9.0	4.567279	21	21
10.0	4.728177	17	17
11.0	4.859515	6	6
12.0	4.966723	8	8
13.0	5.054235	9	9
14.0	5.125669	5	5
15.0	5.18398	3	3
16.0	5.231577	1	1
17.0	5.27043	2	2
18.0	5.302145	1	1
19.0	5.328033	0	0
20.0	5.349165	2	2
21.0	5.366415	1	1
22.0	5.380495	2	2
23.0	5.391989	1	1
24.0	5.401371	0	0
25.0	5.409029	1	1
26.0	5.415281	1	1
27.0	5.420384	0	0
28.0	5.424549	1	1
29.0	5.427949	0	0
30.0	5.430725	0	0
31.0	5.43299	0	0
32.0	5.434839	0	0
33.0	5.436349	1	1
34.0	5.437581	0	0
35.0	5.438587	0	0
36.0	5.439408	0	0
37.0	5.440078	0	0
38.0	5.440625	0	0
39.0	5.441072	0	0
40.0	5.441436	0	0
41.0	5.441734	0	0
42.0	5.441977	0	0
43.0	5.442175	0	0
44.0	5.442337	0	0
45.0	5.442469	0	0
46.0	5.442577	0	0
47.0	5.442665	0	0
48.0	5.442737	0	0
49.0	5.442795	0	0
50.0	5.442843	0	0
51.0	5.442882	0	0
52.0	5.442914	0	0
53.0	5.44294	0	0
54.0	5.442961	0	0
55.0	5.442979	0	0
56.0	5.442993	0	0
57.0	5.443005	0	0
58.0	5.443014	0	0
59.0	5.443022	0	0
60.0	5.443028	0	0
61.0	5.443033	0	0
62.0	5.443037	0	0
63.0	5.443041	0	0
64.0	5.443044	0	0
65.0	5.443046	0	0
66.0	5.443048	0	0
67.0	5.443049	0	0
68.0	5.44305	0	0
69.0	5.443051	0	0
70.0	5.443052	0	0
71.0	5.443053	0	0
72.0	5.443053	0	0
73.0	5.443054	0	0
74.0	5.443054	0	0
75.0	5.443055	0	0
76.0	5.443055	0	0
77.0	5.443055	0	0
78.0	5.443055	0	0
79.0	5.443055	0	0
80.0	5.443055	0	0
81.0	5.443056	0	0
82.0	5.443056	0	0
83.0	5.443056	0	0
84.0	5.443056	0	0
85.0	5.443056	0	0
86.0	5.443056	0	0
87.0	5.443056	0	0
88.0	5.443056	0	0
89.0	5.443056	0	0
90.0	5.443056	0	0
91.0	5.443056	0	0
92.0	5.443056	0	0
93.0	5.443056	0	0
94.0	5.443056	0	0
95.0	5.443056	0	0
96.0	5.443056	0	0
97.0	5.443056	0	0
98.0	5.443056	0	0
99.0	5.443056	0	0
100.0	5.443056	0	0

