# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MGG_00005	gene-MGG_00005	XM_003719092.1	protein_coding	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	368
MGG_00010	gene-MGG_00010	XM_003719088.1	protein_coding	0	0	0	211	0	0	0	0	0	0	0	64	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	143
MGG_00013	gene-MGG_00013	XM_003719086.1	protein_coding	0	0	0	510	0	0	0	0	0	0	0	292	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	167
MGG_00015	gene-MGG_00015	XM_003719084.1	protein_coding	0	0	0	51	0	0	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	30
MGG_00016	gene-MGG_00016	XM_003719083.1	protein_coding	0	0	0	61	0	0	0	0	0	0	0	23	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	26
MGG_00017	gene-MGG_00017	XM_003719081.1	protein_coding	0	0	0	69	0	0	0	0	0	0	0	16	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	29
MGG_00018	gene-MGG_00018	XM_003719080.1	protein_coding	0	0	0	78	0	0	0	0	0	0	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	40
MGG_00019	gene-MGG_00019	XM_003719079.1	protein_coding	0	0	0	74	0	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	44
MGG_00020	gene-MGG_00020	XM_003719078.1	protein_coding	0	0	0	113	0	0	0	0	0	0	0	29	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	61
MGG_00021	gene-MGG_00021	XM_003719077.1	protein_coding	0	0	0	85	0	0	0	0	0	0	0	39	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	21
MGG_00022	gene-MGG_00022	XM_003719076.1	protein_coding	0	0	0	92	0	0	0	0	0	0	0	68	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	2
MGG_00023	gene-MGG_00023	XM_003719075.1	protein_coding	0	0	0	31	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25
MGG_00024	gene-MGG_00024	XM_003719074.1	protein_coding	0	0	0	37	0	0	0	0	0	0	0	3	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	11
MGG_00026	gene-MGG_00026	XM_003719073.1	protein_coding	0	0	0	91	0	0	0	0	0	0	0	26	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	61
MGG_00031	gene-MGG_00031	XM_003719068.1	protein_coding	0	0	0	114	0	0	0	0	0	0	0	55	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	43
MGG_00032	gene-MGG_00032	XM_003719064.1	protein_coding	0	0	0	136	0	0	0	0	0	0	0	68	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	37
MGG_00033	gene-MGG_00033	XM_003719063.1	protein_coding	0	0	0	111	0	0	0	0	0	0	0	62	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	36
MGG_00035	gene-MGG_00035	XM_003719062.1	protein_coding	0	0	0	31	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
